date,high,min,rain,snow,snow_depth,
2022-01-01,1,-11,0,0,4,
2022-01-02,5,-14,0,0,4,
2022-01-03,26,2,0,0,4,
2022-01-04,32,15,T,T,4,
2022-01-05,22,3,0.11,2.1,4,
2022-01-06,3,-10,0.01,T,5,
2022-01-07,11,-17,0,0,5,
2022-01-08,29,5,T,T,5,
2022-01-09,6,-4,0,0,5,
2022-01-10,4,-9,0,0,5,
2022-01-11,38,3,0,0,4,
2022-01-12,40,27,0,0,4,
2022-01-13,34,26,0,0,3,
2022-01-14,26,10,0.25,3.7,3,
2022-01-15,15,2,0,0,6,
2022-01-16,28,7,T,T,6,
2022-01-17,30,18,0,0,6,*
2022-01-18,42,9,T,0,6,
2022-01-19,9,-5,0,0,5,
2022-01-20,3,-11,0,0,5,
2022-01-21,23,-8,0.07,0.8,5,
2022-01-22,24,7,0.11,2.3,6,
2022-01-23,8,-7,0.05,1.3,8,
2022-01-24,11,-5,0.02,0.3,9,
2022-01-25,4,-13,0,0,9,
2022-01-26,29,-16,0,0,8,
2022-01-27,33,6,0.02,T,8,
2022-01-28,12,-5,0,0,8,
2022-01-29,27,5,0,0,7,
2022-01-30,23,13,0,0,7,
2022-01-31,31,11,0,0,7,
2022-02-01,37,3,T,T,7,
2022-02-02,7,-4,0,0,7,
2022-02-03,7,-9,0,0,6,*
2022-02-04,9,-4,0.03,0.2,6,
2022-02-05,22,-3,T,T,6,
2022-02-06,23,2,0.03,0.5,6,
2022-02-07,20,-2,0,0,6,
2022-02-08,43,12,0,0,6,
2022-02-09,36,20,T,T,5,
2022-02-10,40,13,0.08,0.6,4,
2022-02-11,38,3,0.02,0.1,4,
2022-02-12,4,-7,0.02,0.4,4,
2022-02-13,8,-5,0.03,1.1,4,
2022-02-14,19,4,0.02,0.7,6,
2022-02-15,32,10,0,0,6,
2022-02-16,28,15,0,0,5,
2022-02-17,14,-2,0,0,4,
2022-02-18,36,2,0.02,0.1,4,
2022-02-19,27,-1,0,0,4,
2022-02-20,44,25,0,0,4,*
2022-02-21,25,15,T,T,2,
2022-02-22,15,2,0.39,5.1,2,
2022-02-23,11,-5,0,0,7,
2022-02-24,11,-3,0.14,1.5,6,
2022-02-25,18,2,T,T,8,
2022-02-26,36,5,0,0,8,
2022-02-27,35,13,0,0,7,
2022-02-28,44,21,0,0,7,
2022-03-01,42,30,0,0,4,
2022-03-02,34,23,0.01,T,4,
2022-03-03,26,16,0,0,3,
2022-03-04,37,22,T,0,3,
2022-03-05,35,31,0.8,0,2,
2022-03-06,31,21,0.34,3.3,6,
2022-03-07,29,16,0,0,6,
2022-03-08,38,23,T,T,5,
2022-03-09,25,11,T,T,3,*
2022-03-10,26,8,0,0,3,
2022-03-11,23,2,0,0,3,
2022-03-12,30,-1,0,0,3,
2022-03-13,43,24,0,0,3,
2022-03-14,39,27,0.06,0.8,1,
2022-03-15,51,24,0,0,1,
2022-03-16,55,37,0,0,1,
2022-03-17,48,35,0,0,T,
2022-03-18,46,31,0,0,T,
2022-03-19,54,26,0,0,0,
2022-03-20,60,30,0,0,0,
2022-03-21,65,46,T,0,0,
2022-03-22,47,35,0.88,0,0,
2022-03-23,37,32,0.09,0.5,T,
2022-03-24,45,33,0,0,0,
2022-03-25,41,24,0.01,T,0,
2022-03-26,33,19,0,0,0,*
2022-03-27,32,13,0,0,0,
2022-03-28,38,19,0,0,0,
2022-03-29,44,33,0.19,T,0,
2022-03-30,34,32,0.57,0.5,T,
2022-03-31,35,26,T,T,T,
2022-04-01,45,24,0,0,T,
2022-04-02,53,36,T,0,0,
2022-04-03,42,29,0.34,1,0,
2022-04-04,45,33,0.01,T,1,
2022-04-05,45,34,0.34,T,0,
2022-04-06,40,33,0.22,T,T,
2022-04-07,38,30,0.15,0.4,T,
2022-04-08,48,31,T,T,T,
2022-04-09,55,28,0,0,0,
2022-04-10,61,36,0,0,0,
2022-04-11,60,38,0,0,0,
2022-04-12,57,40,0.55,0,0,*
2022-04-13,47,32,0.15,0,0,
2022-04-14,36,27,0.01,0.2,0,
2022-04-15,35,22,T,T,T,
2022-04-16,43,25,0,0,0,
2022-04-17,45,26,0.08,T,0,
2022-04-18,37,29,0.01,T,T,
2022-04-19,47,25,0,0,0,
2022-04-20,46,40,0.62,0,0,
2022-04-21,56,37,0,0,0,
2022-04-22,54,42,0.2,0,0,
2022-04-23,74,52,0.28,0,0,
2022-04-24,52,36,T,0,0,
2022-04-25,39,30,T,T,0,
2022-04-26,43,28,0,0,0,
2022-04-27,51,31,0,0,0,
2022-04-28,51,36,T,0,0,
2022-04-29,60,45,0.12,0,0,*
2022-04-30,54,47,0.91,0,0,
2022-05-01,48,41,0.1,0,0,
2022-05-02,50,39,0,0,0,
2022-05-03,58,43,0,0,0,
2022-05-04,64,40,0,0,0,
2022-05-05,65,47,0,0,0,
2022-05-06,72,45,0,0,0,
2022-05-07,74,50,0,0,0,
2022-05-08,65,52,0.03,0,0,
2022-05-09,87,58,0.01,0,0,
2022-05-10,80,57,0,0,0,
2022-05-11,79,63,1.94,T,0,
2022-05-12,92,59,0.04,0,0,
2022-05-13,75,61,0.01,0,0,
2022-05-14,75,58,0,0,0,
2022-05-15,75,54,T,0,0,
2022-05-16,71,54,0,0,0,*
2022-05-17,72,51,0.08,0,0,
2022-05-18,74,56,0.01,0,0,
2022-05-19,72,53,T,0,0,
2022-05-20,67,47,0.05,0,0,
2022-05-21,56,44,0,0,0,
2022-05-22,59,40,0,0,0,
2022-05-23,66,40,0,0,0,
2022-05-24,69,52,T,0,0,
2022-05-25,55,47,0.57,0,0,
2022-05-26,63,47,0,0,0,
2022-05-27,76,45,0,0,0,
2022-05-28,90,60,0.06,0,0,
2022-05-29,82,66,0.01,0,0,
2022-05-30,89,65,0.42,0,0,
2022-05-31,73,57,0,0,0,
2022-06-01,70,51,0,0,0,
2022-06-02,79,53,0,0,0,*
2022-06-03,71,52,0,0,0,
2022-06-04,71,57,0,0,0,
2022-06-05,71,58,0.11,0,0,
2022-06-06,78,58,0.14,0,0,
2022-06-07,70,59,T,0,0,
2022-06-08,80,56,0,0,0,
2022-06-09,81,55,0,0,0,
2022-06-10,81,62,0,0,0,
2022-06-11,81,65,0.03,0,0,
2022-06-12,79,63,0,0,0,
2022-06-13,80,68,0.12,0,0,
2022-06-14,96,72,0,0,0,
2022-06-15,78,65,0.36,0,0,
2022-06-16,81,66,0,0,0,
2022-06-17,84,62,0,0,0,
